Nr,Rūšis,Vieta,Pagavimo_data,Lytis,Q(g.),L(mm),Luo(mm),P(mm),A(mm),Amžius,Pastabos,RatPyV1,RatPyV2
R192,R.norvegicus,"Joniškio raj., Šarūnų km.",2014.11.05,mot.,101,156,129,35,12,juv.,"Tvartas, laikomos karvės, kiaulės",Ne,Ne
R193,R.norvegicus,"Rokiškio raj., Kovelių km.",2016.04.01,N/A,314,220,189,41,19,ad.,Paukštynas,Taip,Ne
R194,R.norvegicus,"Rokiškio raj., Kovelių km.",2016.04.01,N/A,126,165,133,36,16,juv.,Paukštynas,Ne,Ne
R195,R.rattus,"Zarasų raj., Antazavės gyv.",2016.08.31,vyr.,131,165,205,34,24,ad.,"Tvartas, laikomos karvės",Ne,Ne
R196,R.rattus,"Zarasų raj., Pakniškių km.",2016.08.31,vyr.,172,185,195,35,26,ad.,"Tvartas, laikomos vištos",Ne,Ne
R197,R.rattus,"Zarasų raj., Pakniškių km.",2016.08.31,vyr.,41,115,135,29,19,juv.,"Tvartas, laikomos vištos",Ne,Ne
R198,R.rattus,"Zarasų raj., Pakniškių km.",2016.08.31,N/A,151,183,N/A,36,22,ad.,"Tvartas, laikomos vištos",Ne,Ne
R199,R.rattus,"Zarasų raj., Pakniškių km.",2016.08.31,vyr.,70,131,166,31,20,juv.,"Tvartas, laikomos vištos",Ne,Ne
R200,R.rattus,"Zarasų raj., Pakniškių km.",2016.08.31,N/A,88,145,167,34,21,juv.,"Tvartas, laikomos vištos",Ne,Ne
R201,R.rattus,"Zarasų raj., Pakniškių km.",2016.09.15,vyr.,233,197,231,36,19,ad.,"Tvartas, laikomos vištos",Ne,Ne
R202,R.rattus,"Zarasų raj., Pakniškių km.",2016.09.15,vyr.,62,140,152,30,16,juv.,"Tvartas, laikomos vištos",Ne,Ne
R203,R.rattus,"Zarasų raj., Pakniškių km.",2016.09.27,mot.,174,175,200,36,25,ad.,"Tvartas, laikomos vištos",Ne,Ne
R204,R.rattus,"Zarasų raj., Pakniškių km.",2016.09.27,vyr.,147,168,182,36,22,ad.,"Tvartas, laikomos vištos",Ne,Ne
R205,R.rattus,"Zarasų raj., Pakniškių km.",2016.09.27,vyr.,123,155,174,32,20,ad.,"Tvartas, laikomos vištos",Ne,Ne
R206,R.rattus,"Zarasų raj., Pakniškių km.",2016.09.27,mot.,38,109,113,29,18,juv.,"Tvartas, laikomos vištos",Ne,Ne
R207,R.rattus,"Zarasų raj., Pakniškių km.",2016.09.27,mot.,25,98,110,25,12,juv.,"Tvartas, laikomos vištos",Ne,Ne
R208,R.rattus,"Zarasų raj., Pakniškių km.",2016.11.02,vyr.,230,202,201,37,27,ad.,"Tvartas, laikomos vištos",Ne,Ne
R209,R.rattus,"Zarasų raj., Pakniškių km.",2017.04.05-07,vyr.,154,N/A,N/A,N/A,N/A,ad.,"Tvartas, laikomos vištos",Ne,Ne
R210,R.rattus,"Zarasų raj., Pakniškių km.",2017.04.05-07,mot.,82,N/A,N/A,N/A,N/A,sub.,"Tvartas, laikomos vištos",Ne,Ne
R211,R.rattus,"Zarasų raj., Pakniškių km.",2017.03.04-07,mot.,92,N/A,N/A,N/A,N/A,sub.,"Tvartas, laikomos vištos",Ne,Ne
R212,R.rattus,"Zarasų raj., Pakniškių km.",2017.03.04-07,mot.,42,N/A,N/A,N/A,N/A,juv.,"Tvartas, laikomos vištos",Ne,Ne
R213,R.rattus,"Zarasų raj., Pakniškių km.",2017.03.04-07,mot.,177,N/A,N/A,N/A,N/A,ad.,"Tvartas, laikomos vištos",Ne,Ne
R214,R.rattus,"Zarasų raj., Pakniškių km.",2017.03.31,vyr.,75,N/A,N/A,N/A,N/A,juv.,"Tvartas, laikomos vištos",Ne,Ne
R215,R.rattus,"Zarasų raj., Pakniškių km.",2017.03.31,vyr.,48,N/A,N/A,N/A,N/A,juv.,"Tvartas, laikomos vištos",Ne,Ne
R216,R.rattus,"Zarasų raj., Pakniškių km.",2017.03.31,mot.,41,N/A,N/A,N/A,N/A,juv.,"Tvartas, laikomos vištos",Ne,Ne
R217,R.rattus,"Zarasų raj., Pakniškių km.",2017.02.20,mot.,138,N/A,N/A,N/A,N/A,ad.,"Tvartas, laikomos vištos",Ne,Ne
R218,R.rattus,"Zarasų raj., Pakniškių km.",2017.02.20,mot.,77,N/A,N/A,N/A,N/A,juv.,"Tvartas, laikomos vištos",Ne,Ne
R219,R.rattus,"Zarasų raj., Pakniškių km.",2017.05.01,vyr.,136,N/A,N/A,N/A,N/A,ad.,"Tvartas, laikomos vištos",Ne,Ne
R220,R.rattus,"Zarasų raj., Pakniškių km.",2017.05.01,mot.,83,N/A,N/A,N/A,N/A,sub.,"Tvartas, laikomos vištos",Ne,Ne
R221,R.rattus,"Zarasų raj., Pakniškių km.",2017.02.25,mot.,33,N/A,N/A,N/A,N/A,juv.,"Tvartas, laikomos vištos",Ne,Ne
R222,R.rattus,"Zarasų raj., Pakniškių km.",2017.07.08,mot.,137,N/A,N/A,N/A,N/A,ad.,"Tvartas, laikomos vištos",Ne,Ne
R223,R.rattus,"Zarasų raj., Pakniškių km.",2017.07.08,mot.,122,N/A,N/A,N/A,N/A,sub.,"Tvartas, laikomos vištos",Ne,Ne
R224,R.norvegicus,"Rokiškio raj., Laibgalių km.",2017.09.07,vyr.,369,230,199,45,18,ad.,Paukštynas,Ne,Ne
R225,R.norvegicus,"Rokiškio raj., Laibgalių km.",2017.09.07,mot.,231,186,174,40,20,ad.,Paukštynas,Ne,Ne
R226,R.norvegicus,"Rokiškio raj., Laibgalių km.",2017.09.07,vyr.,384,245,200,47,20,ad.,Paukštynas,Taip,Ne
R227,R.norvegicus,"Rokiškio raj., Laibgalių km.",2017.09.07,mot.,286,209,N/A,40,N/A,ad.,Paukštynas,Ne,Taip
R228,R.norvegicus,"Rokiškio raj., Laibgalių km.",2017.09.07,vyr.,336,240,160,42,21,ad.,Paukštynas,Ne,Ne
R229,R.norvegicus,"Rokiškio raj., Laibgalių km.",2017.09.07,vyr.,305,225,190,45,18,ad.,Paukštynas,Ne,Ne
R230,R.norvegicus,"Rokiškio raj., Laibgalių km.",2017.09.07,mot.,252,200,170,40,20,ad.,Paukštynas,Taip,Ne
R231,R.norvegicus,"Rokiškio raj., Laibgalių km.",2017.09.07,mot.,80,150,115,35,17,sub.,Paukštynas,Ne,Ne
R232,R.norvegicus,"Rokiškio raj., Laibgalių km.",2017.09.07,vyr.,102,167,125,32,11,sub.,Paukštynas,Ne,Ne
R233,R.norvegicus,"Rokiškio raj., Laibgalių km.",2017.09.07,vyr.,73,145,120,35,18,juv.,Paukštynas,Ne,Ne
R234,R.rattus,"Zarasų raj., Antazavės gyv.",2017.09.20,mot.,104,165,160,32,20,sub.,"Tvartas, laikomos karvės",Ne,Ne
R235,R.rattus,"Zarasų raj., Dusetų gyv.",2017.09.28,mot.,130,170,176,35,19,sub.,"Ūkinis pastatas, gyvūnų nelaikoma",Ne,Ne
R236,R.rattus,"Zarasų raj., Pakniškių km.",2017.09.30,mot.,137,170,195,36,25,sub.,"Tvartas, laikomos vištos",Ne,Ne
R237,R.rattus,"Zarasų raj., Pakniškių km.",2017.10.01,vyr.,47,130,135,32,21,juv.,"Tvartas, laikomos vištos",Ne,Ne
